ID_ESTAC,NOM_ESTACIO,NOM_ORIGINAL,DATA_DIA,DATA_EXTRACCIO,URL_FONT,GRUIX_NEU_MAX,HUMITAT_MITJANA_DIA,PRECIPITACIO_ACUM_DIA,PRESSIO_ATMOSFERICA,RADIACIO_GLOBAL,RATXA_VENT_MAX,TEMPERATURA_MAXIMA_DIA,TEMPERATURA_MINIMA_DIA,TEMPERATURA_MITJANA_DIA
WL,Sant Martí de Riucorb,SANT_MARTI_DE_RIUCORB_WL,2026-02-19,2026-02-19 04:21:55,https://www.meteo.cat/observacions/xema/dades?codi=WL&dia=2026-02-19T09:00Z,,75%,0.0 mm,,0.0 MJ/m2,32.0 km/h - 254º 1:43 TU,9.6 °C 1:26 TU,6.8 °C 3:59 TU,8.4 °C
U3,Sant Martí Sarroca,SANT_MARTI_SARROCA_U3,2026-02-19,2026-02-19 04:21:58,https://www.meteo.cat/observacions/xema/dades?codi=U3&dia=2026-02-19T09:00Z,,55%,0.0 mm,,0.0 MJ/m2,36.7 km/h - 256º 0:57 TU,13.3 °C 0:13 TU,10.2 °C 3:30 TU,12.0 °C
CI,Sant Pau de Segúries,SANT_PAU_DE_SEGURIES_CI,2026-02-19,2026-02-19 04:22:00,https://www.meteo.cat/observacions/xema/dades?codi=CI&dia=2026-02-19T09:00Z,,91%,3.6 mm,1008.9 hPa,,18.0 km/h - 244º 0:26 TU,5.6 °C 0:19 TU,1.9 °C 3:57 TU,3.9 °C
UK,Sant Pere de Ribes - Pn del Garraf,SANT_PERE_DE_RIBES___PN_DEL_GARRAF_UK,2026-02-19,2026-02-19 04:22:03,https://www.meteo.cat/observacions/xema/dades?codi=UK&dia=2026-02-19T09:00Z,,55%,0.0 mm,,,,13.2 °C 1:48 TU,11.5 °C 3:52 TU,12.4 °C
U2,Sant Pere Pescador,SANT_PERE_PESCADOR_U2,2026-02-19,2026-02-19 04:22:05,https://www.meteo.cat/observacions/xema/dades?codi=U2&dia=2026-02-19T09:00Z,,67%,0.9 mm,1007.5 hPa,0.0 MJ/m2,40.7 km/h - 335º 2:32 TU,12.6 °C 2:15 TU,9.3 °C 3:59 TU,11.1 °C
YO,Sant Sadurní D'anoia,SANT_SADURNI_DANOIA_YO,2026-02-19,2026-02-19 04:22:08,https://www.meteo.cat/observacions/xema/dades?codi=YO&dia=2026-02-19T09:00Z,,53%,0.0 mm,,0.0 MJ/m2,40.3 km/h - 284º 1:38 TU,13.6 °C 0:09 TU,11.2 °C 3:58 TU,12.8 °C
CL,Sant Salvador de Guardiola,SANT_SALVADOR_DE_GUARDIOLA_CL,2026-02-19,2026-02-19 04:22:10,https://www.meteo.cat/observacions/xema/dades?codi=CL&dia=2026-02-19T09:00Z,,70%,0.1 mm,1008.2 hPa,0.0 MJ/m2,35.3 km/h - 292º 3:41 TU,10.7 °C 0:03 TU,8.5 °C 3:35 TU,9.6 °C
XS,Santa Coloma de Farners,SANTA_COLOMA_DE_FARNERS_XS,2026-02-19,2026-02-19 04:22:13,https://www.meteo.cat/observacions/xema/dades?codi=XS&dia=2026-02-19T09:00Z,,70%,0.0 mm,,0.0 MJ/m2,27.4 km/h - 247º 1:00 TU,13.9 °C 0:00 TU,7.9 °C 3:59 TU,10.5 °C
UJ,Santa Coloma de Queralt,SANTA_COLOMA_DE_QUERALT_UJ,2026-02-19,2026-02-19 04:22:16,https://www.meteo.cat/observacions/xema/dades?codi=UJ&dia=2026-02-19T09:00Z,,79%,0.0 mm,,0.0 MJ/m2,44.6 km/h - 260º 3:37 TU,7.7 °C 0:27 TU,5.2 °C 3:59 TU,6.7 °C
XN,Seròs,SEROS_XN,2026-02-19,2026-02-19 04:22:18,https://www.meteo.cat/observacions/xema/dades?codi=XN&dia=2026-02-19T09:00Z,,63%,0.0 mm,,0.0 MJ/m2,27.4 km/h - 262º 0:01 TU,13.2 °C 0:03 TU,8.8 °C 3:47 TU,10.8 °C
